TM Head,0.5465850345579389.
AB Barath,0.5460425192694857.
Shubman Gill,0.5458441656719502.
DL Vettori,0.5441432514659984.
B Kumar,0.543740123271029.
YV Takawale,0.5434938968504613.
DJ Harris,0.5432347960047981.
Misbah-ul-Haq,0.5422776981710408.
MG Johnson,0.5413597637479152.
MJ Clarke,0.5398308145237014.
K Rabada,0.5397236690445996.
JJ Roy,0.5395710878516956.
N Saini,0.5392630157617535.
PP Shaw,0.5392084794059122.
AC Voges,0.5382145508061493.
AS Yadav,0.5371605805926245.
RJ Harris,0.5368525204053861.
Anirudh Singh,0.5362439285268708.
A Ashish Reddy,0.5325320011453817.
MM Sharma,0.5323796483106096.
AD Hales,0.5320353353751819.
Bipul Sharma,0.5318206587586924.
AN Ahmed,0.5309286332757812.
MJ Guptill,0.5305134714956046.
Washington Sundar,0.529549371303492.
C de Grandhomme,0.5292093746967953.
WD Parnell,0.5290373094027486.
CA Ingram,0.5289673372451792.
DH Yagnik,0.5288876810628574.
SL Malinga,0.5287849812709106.
UT Yadav,0.5287428056486602.
MA Starc,0.5274713484967447.
AB McDonald,0.5274073312860567.
Ankit Sharma,0.5273952211578306.
M Klinger,0.5271291710131181.
SD Chitnis,0.526214015500582.
DJ Thornely,0.5243427607523884.
DS Kulkarni,0.5237463156267117.
DP Nannes,0.523669869911266.
PJ Sangwan,0.523669869911266.
R Tewatia,0.52357293489304.
Mohammad Hafeez,0.5224433666789148.
AC Blizzard,0.5211100038331755.
PV Tambe,0.5204077452473902.
WPUJC Vaas,0.5202217309472408.
CJ Ferguson,0.5198825899234829.
R Rampaul,0.5198527443763692.
UT Khawaja,0.5193174036996135.
S Vidyut,0.5187299217567081.
AP Majumdar,0.5179385660366526.
KB Arun Karthik,0.5177431010290031.
GR Napier,0.5175171451517866.
Yashpal Singh,0.5167484531208872.
CR Brathwaite,0.5163942064975564.
MS Wade,0.5162900005145084.
R Sharma,0.5155911654660501.
M Morkel,0.5154134300009674.
Swapnil Singh,0.514862503158823.
Sachin Baby,0.5148003973420187.
S Aravind,0.5145879008028453.
TR Birt,0.5145327532288944.
DR Martyn,0.5144014464340693.
NS Naik,0.5142464928028443.
D Wiese,0.5142379359492473.
RE Levi,0.5141113129881644.
S Nadeem,0.5140406023081666.
A Flintoff,0.5139126717590903.
TK Curran,0.5134223978898186.
J Suchith,0.5132130320920161.
JDS Neesham,0.5128094733281138.
LJ Wright,0.5126076603773991.
Z Khan,0.5125054903226453.
KK Cooper,0.5124261719312728.
KW Richardson,0.5123319197079398.
RK Singh,0.5121517567105406.
Iqbal Abdulla,0.5117453035733452.
Kuldeep Yadav,0.5116316909082664.
M Kartik,0.5114255199090485.
HV Patel,0.5113834690346797.
B Lee,0.5112577786262348.
S Gopal,0.5111177727821761.
S Sriram,0.5110119136275532.
A Mukund,0.5108264910481063.
Anureet Singh,0.5107901866354163.
RR Rossouw,0.5107200985632062.
S Sreesanth,0.5106684147275281.
Shahid Afridi,0.5104644189132402.
RR Powar,0.5099138454877017.
DL Chahar,0.5098833995425305.
BR Dunk,0.5098772024542172.
L Ronchi,0.509152585170591.
