DA Warner,6605863105.288103103638
PD Collingwood,6239417954.854033470154
SC Ganguly,5967823388.557390213013
SE Marsh,5390217531.819460868835
KC Sangakkara,5377669589.914262771606
Yuvraj Singh,5239738586.471117973328
RV Uthappa,5077745438.399621009827
AT Rayudu,4435361488.578832626343
SS Tiwary,3975245193.090292453766
AB de Villiers,3971389406.099664688110
RG Sharma,3913133734.270133495331
SK Raina,3416831245.747110366821
A Symonds,3380322113.054646968842
MS Dhoni,3365849260.929319381714
JP Duminy,3177581846.451070308685
CL White,3168261014.376100540161
V Sehwag,3071937306.725324630737
AC Gilchrist,3021086619.840579509735
MEK Hussey,2877598053.613238811493
SR Tendulkar,2847984692.933897972107
G Gambhir,2799368402.654368877411
RA Jadeja,2755935077.718502044678
MC Henriques,2730239726.345109939575
S Dhawan,2698523987.392866611481
S Badrinath,2609234311.667236328125
YK Pathan,2540173771.022837638855
JH Kallis,2469676139.550028800964
R Dravid,2390103378.069528579712
BB McCullum,2295812666.230001449585
M Vijay,2214399459.859039306641
V Kohli,2148414662.957653045654
KD Karthik,2093401737.647529840469
JA Morkel,2024952711.139833688736
IK Pathan,1990090154.078614473343
Y Venugopal Rao,1815621336.747655153275
CH Gayle,1733070563.239879846573
BJ Hodge,1708357907.809705495834
ML Hayden,1677963631.422778129578
DJ Bravo,1659027304.541547536850
DPMD Jayawardene,1620551558.253850698471
PA Patel,1614379973.963031768799
MK Pandey,1548619856.178987264633
TM Dilshan,1538036265.365324497223
NV Ojha,1503454223.696749210358
MK Tiwary,1442660830.066075801849
AM Rahane,1413403723.220669984818
HH Gibbs,1313268283.978405714035
F du Plessis,1309553601.829577207565
LRPL Taylor,1210558781.246336460114
DJ Hussey,1197466981.667024135590
ST Jayasuriya,1190425032.538426637650
AD Mascarenhas,1162767041.850221633911
SV Samson,1122548924.087527275085
SR Watson,1116203349.475328207016
AM Nayar,1114294423.710370540619
WP Saha,1108327311.020245790482
KP Pietersen,1105581938.467117547989
TL Suman,1104847027.624764919281
KA Pollard,1074538649.310769081116
PP Chawla,1050948091.930784106255
DR Smith,1038907370.014328002930
AJ Finch,1002619669.644727349281
Mandeep Singh,976235665.139806509018
MS Bisla,950585749.762275695801
DA Miller,922755812.602618932724
SP Goswami,902602290.858592987061
DB Ravi Teja,902290311.631545305252
RS Bopara,883237982.477039694786
SPD Smith,862160445.665413498878
JD Ryder,857434060.222746849060
R Ashwin,802034280.024892807007
AD Mathews,788857402.937741994858
M Manhas,787902886.781773328781
MV Boucher,777047846.823397159576
EJG Morgan,757375989.841991305351
A Mishra,752326093.565016746521
KK Nair,748983797.950855493546
Harbhajan Singh,701561540.770941734314
Q de Kock,688042120.675968170166
GC Smith,682042226.502058148384
GJ Maxwell,662879075.503483891487
AL Menaria,654220938.652060270309
CJ Anderson,640758236.138066887856
OA Shah,626516271.508439064026
R McLaren,604843671.615174293518
CA Pujara,592578315.180643916130
SS Iyer,592043055.582587480545
RR Pant,591125505.032807707787
P Kumar,588271415.453531980515
SB Styris,577103487.201239228249
B Chipli,571789423.690428614616
SA Yadav,566582621.979351639748
SA Asnodkar,552787823.035575509071
M Vohra,543133687.411754846573
KM Jadhav,534128388.901648879051
MA Agarwal,531874924.391842126846
LMP Simmons,525763830.388998806477
SK Warne,507986550.508980870247
AR Patel,496900721.366001844406
Shakib Al Hasan,469578885.047248601913
MD Mishra,451446942.034193634987
DT Christian,451364643.475130617619
LA Carseldine,445902502.648847460747
GJ Bailey,440385071.546745896339
E Lewis,439164352.939944922924
KL Rahul,419277786.458298325539
RE van der Merwe,409683893.345246374607
J Botha,401827439.553999006748
N Rana,400280565.864750802517
STR Binny,395923001.187242925167
DB Das,390892950.732078075409
VVS Laxman,378933472.395877420902
WA Mota,373364053.234160900116
MN Samuels,361696765.889619410038
JR Hopes,352118860.337115824223
K Goel,351667216.566183686256
FY Fazal,338854198.313911378384
KS Williamson,332891852.007982015610
LR Shukla,324431037.107945501804
JC Buttler,323012127.300574064255
R Bhatia,316166058.339688599110
PC Valthaty,312680221.608205974102
M Kaif,309981606.549590706825
Y Nagar,308659398.591386198997
Gurkeerat Singh,305308694.066550076008
GH Vihari,300337697.472185850143
A Chopra,299682032.879167258739
S Sohal,299279660.711126863956
DJM Short,299156701.989879369736
R Vinay Kumar,296337481.275858163834
BA Stokes,294917009.132162809372
Azhar Mahmood,282208562.419400572777
HM Amla,279128921.731534302235
JEC Franklin,260284947.485574305058
AA Bilakhia,255211053.404221981764
